Loading wordToVec pickle..
Loaded wordToVec pickle..
Loading train pickle..
Loaded train pickle..
train size:  316436
Loading test pickle..
Loaded test pickle..
pair index 29299 loss tensor(67.7505, grad_fn=<AddBackward0>)
pair index 29399 loss tensor(65.1853, grad_fn=<AddBackward0>)
pair index 29499 loss tensor(67.4732, grad_fn=<AddBackward0>)
pair index 29599 loss tensor(67.0899, grad_fn=<AddBackward0>)
pair index 29699 loss tensor(68.6624, grad_fn=<AddBackward0>)
pair index 29799 loss tensor(67.4008, grad_fn=<AddBackward0>)
pair index 29899 loss tensor(65.5093, grad_fn=<AddBackward0>)
pair index 29999 loss tensor(65.5767, grad_fn=<AddBackward0>)
Saved after time:  697.4642696380615  sec
pair index 30099 loss tensor(67.5130, grad_fn=<AddBackward0>)
pair index 30199 loss tensor(66.7885, grad_fn=<AddBackward0>)
pair index 30299 loss tensor(68.0170, grad_fn=<AddBackward0>)
pair index 30399 loss tensor(67.0972, grad_fn=<AddBackward0>)
pair index 30499 loss tensor(67.4022, grad_fn=<AddBackward0>)
pair index 30599 loss tensor(66.7759, grad_fn=<AddBackward0>)
pair index 30699 loss tensor(66.2207, grad_fn=<AddBackward0>)
pair index 30799 loss tensor(66.1359, grad_fn=<AddBackward0>)
pair index 30899 loss tensor(68.0283, grad_fn=<AddBackward0>)
pair index 30999 loss tensor(67.0835, grad_fn=<AddBackward0>)
pair index 31099 loss tensor(65.8271, grad_fn=<AddBackward0>)
pair index 31199 loss tensor(67.0921, grad_fn=<AddBackward0>)
pair index 31299 loss tensor(63.9827, grad_fn=<AddBackward0>)
pair index 31399 loss tensor(66.3373, grad_fn=<AddBackward0>)
pair index 31499 loss tensor(66.3230, grad_fn=<AddBackward0>)
pair index 31599 loss tensor(64.2645, grad_fn=<AddBackward0>)
pair index 31699 loss tensor(65.8383, grad_fn=<AddBackward0>)
pair index 31799 loss tensor(65.8227, grad_fn=<AddBackward0>)
pair index 31899 loss tensor(67.0836, grad_fn=<AddBackward0>)
pair index 31999 loss tensor(66.7765, grad_fn=<AddBackward0>)
pair index 32099 loss tensor(66.1449, grad_fn=<AddBackward0>)
pair index 32199 loss tensor(68.3544, grad_fn=<AddBackward0>)
pair index 32299 loss tensor(67.7284, grad_fn=<AddBackward0>)
pair index 32399 loss tensor(67.4035, grad_fn=<AddBackward0>)
pair index 32499 loss tensor(64.8080, grad_fn=<AddBackward0>)
pair index 32599 loss tensor(66.7745, grad_fn=<AddBackward0>)
pair index 32699 loss tensor(66.1499, grad_fn=<AddBackward0>)
pair index 32799 loss tensor(64.8712, grad_fn=<AddBackward0>)
pair index 32899 loss tensor(65.8277, grad_fn=<AddBackward0>)
pair index 32999 loss tensor(68.9778, grad_fn=<AddBackward0>)
pair index 33099 loss tensor(66.2503, grad_fn=<AddBackward0>)
pair index 33199 loss tensor(65.1985, grad_fn=<AddBackward0>)
pair index 33299 loss tensor(67.0887, grad_fn=<AddBackward0>)
pair index 33399 loss tensor(67.3995, grad_fn=<AddBackward0>)
pair index 33499 loss tensor(68.0268, grad_fn=<AddBackward0>)
pair index 33599 loss tensor(66.1394, grad_fn=<AddBackward0>)
pair index 33699 loss tensor(64.6776, grad_fn=<AddBackward0>)
pair index 33799 loss tensor(66.4512, grad_fn=<AddBackward0>)
pair index 33899 loss tensor(68.9758, grad_fn=<AddBackward0>)
pair index 33999 loss tensor(65.1943, grad_fn=<AddBackward0>)
pair index 34099 loss tensor(68.3510, grad_fn=<AddBackward0>)
pair index 34199 loss tensor(65.5310, grad_fn=<AddBackward0>)
pair index 34299 loss tensor(67.0294, grad_fn=<AddBackward0>)
pair index 34399 loss tensor(63.9340, grad_fn=<AddBackward0>)
pair index 34499 loss tensor(66.4662, grad_fn=<AddBackward0>)
pair index 34599 loss tensor(65.8228, grad_fn=<AddBackward0>)
pair index 34699 loss tensor(62.6971, grad_fn=<AddBackward0>)
pair index 34799 loss tensor(64.5630, grad_fn=<AddBackward0>)
